Name,street,city,state,zipcode
A Glimmer of Hope Foundation,9086 Kahlden Street,Mountain View,HI,96771
American Association for the Advancement of Science (AAAS),1724 Pine Tree Circle,Helen,MD,20635
Academy for Educational Development (AED) #,9294 Poplar Woods Street,Morven,NC,28119
ACDI/VOCA,9163 Oren Avenue,Crystal Spring,PA,15536
Adventist Development and Relief Agency (ADRA),64 Talmage Drive,Barwick,GA,31720
African Wildlife Foundation,8136 Hayley Circle,Davis,CA,95616
Africare,7265 Golden Chance Street,Wallace,NE,69169
Aga Khan Foundation,4126 Hunters Den Street,Alledonia,OH,43902
AIDS Vaccine Advocacy Coalition (AVAC),8641 Grove Mill Lane,Gilbertown,AL,36908
Alliance for Youth Achievement,6128 Joliet Drive,Ralph,AL,35480
American Council on Education,2945 Seeley Way,Earlysville,VA,22936
American Institutes for Research,356 Farmingdale Trail,Tunnel Hill,GA,30755
American International Health Alliance,9019 Fernspring Parkway,Old Glory,TX,79540
Amref Health Africa in the USA (formerly African Medical and Research Foundation),6112 Blue Grass Way,Elkland,MO,65644
Ananda Marga Universal Relief Team (AMURT),6843 May Drive,East Granby,CT,06026
American Near East Refugee Aid (ANERA),7844 Jocelyn Drive,Saint Mary,KY,40063
Armenian American Cultural Association (AACA),6752 Comely Trail,Millburn,NJ,07041
Armenian EyeCare Project,8650 Jamaca Drive,El Paso,TX,79973
"Aspen Institute, The",6925 Fox Creek Avenue,Burbank,IL,60459
Axios Foundation,441 Meadow Run Avenue,Cloverdale,IN,46120
CARE (Cooperative for Assistance and Relief Everywhere),4239 Greeley Parkway,Dayton,TX,77535
"Carter Center, The",2061 Holly Hill Drive,Chesapeake,VA,23324
Catholic Medical Missions Board,8755 Riverwood Parkway,Fortuna,ND,58844
Catholic Relief Services (CRS),2821 Tanya Avenue,Live Oak,CA,95953
Center for Human Services,5360 Moss Tree Avenue,Middleburg,FL,32068
ChildFund International USA (formerly Christian Children’s Fund),8473 Daria Cove,Hardin,KY,42048
Concern Worldwide US,4937 May Woods Drive,Buford,GA,30515
Counterpart International,7198 Saint Louis Drive,Portage,IN,46368
Cross International,9286 Commodore Street,Garrisonville,VA,22463
Curamericas Global,8677 Bavarian Parkway,Cooter,MO,63839
Diagnostics For All,725 Northridge Trail,Milwaukee,WI,53207
D-REV,6635 Ottumwa Drive,Combes,TX,78535
Education Development Center,4592 Heathmore Cove,Grover,CO,80729
Elizabeth Glaser Pediatric AIDS Foundation,8770 Pridalea Avenue,Colorado Springs,CO,80931
EngenderHealth,5787 Nova Scotia Trail,Vanceboro,NC,28586
Episcopal Relief & Development,1047 Germantown Circle,Templeville,MD,21670
Feed the Children,670 Birchwood Way,Marionville,VA,23408
FHI Development 360 (formerly Family Health International),6859 Peabody Street,Siasconset,MA,02564
Future Generations,9137 Crossflower Way,Desert Hot Springs,CA,92241
FXB USA (Association Francois-Xavier Bagnoud USA),731 Blue Grass Avenue,Morriston,FL,32668
Global AIDS Interfaith Alliance,1654 Wild Oak Avenue,Parker,WA,98939
Global Alliance for TB Drug Development,3956 Rolling Valley Trail,Evansville,IN,47722
Global Communities (formerly CHF International),1352 Manor Woods Way,La Puente,CA,91744
Global Environment and Technology Foundation,8877 Willard Circle,Tiffin,OH,44883
Global Partners in Care (formerly Foundation for Hospices in Sub-Saharan Africa),7281 Germantown Village Way,Kearney,NE,68845
Global Team for Local Initiatives,5463 Monte Vallo Way,Melrose,LA,71452
Gorongosa Restoration Project (Gregory C. Carr Foundation),7582 Fox Fern Street,Pleasantville,NY,10570
Grameen Foundation USA,6440 Oakes Parkway,Cincinnati,OH,45203
Green Empowerment,2527 Dogwood Villa Lane,Panguitch,UT,84759
Health Alliance International,55 Kallie Drive,San Francisco,CA,94111
Health Partners,9049 Sibelius Avenue,Pinos Altos,NM,88053
Health Right International,4489 Steamboat Street,Havana,ND,58043
Health Through Walls,9238 Brooxie Trail,Belchertown,MA,01007
Heartland Alliance for Human Needs & Human Rights (Heartland Alliance International),87 Pepper Parkway,Hampden,MA,01036
Helen Keller International,5467 Pine Hollow Parkway,Lexington,MS,39095
